gene,cluster
YAL003W,1
YAL025C,1
YAL035W,1
YAL036C,1
YAL038W,1
YAL059W,1
YAL061W,2
YAR073W,1
YAR075W,1
YBL024W,1
YBL027W,1
YBL028C,1
YBL035C,1
YBL039C,1
YBL049W,2
YBL054W,1
YBL064C,2
YBL068W,1
YBL072C,1
YBL075C,2
YBL077W,1
YBL078C,2
YBL087C,1
YBL092W,1
YBR006W,2
YBR025C,1
YBR026C,2
YBR030W,1
YBR031W,1
YBR034C,1
YBR048W,1
YBR052C,2
YBR053C,2
YBR056W,2
YBR061C,1
YBR072W,2
YBR079C,1
YBR084C.A,1
YBR084W,1
YBR089W,1
YBR106W,1
YBR118W,1
YBR121C,1
YBR126C,2
YBR139W,2
YBR142W,1
YBR143C,1
YBR149W,2
YBR154C,1
YBR155W,1
YBR169C,2
YBR181C,1
YBR183W,2
YBR189W,1
YBR191W,1
YBR204C,2
YBR230C,2
YBR238C,1
YBR246W,1
YBR247C,1
YBR249C,1
YBR252W,1
YBR266C,1
YBR267W,1
YBR269C,2
YBR283C,1
YBR285W,2
YBR287W,2
YCL031C,1
YCL035C,2
YCL037C,1
YCL040W,2
YCL042W,2
YCL045C,1
YCL054W,1
YCL059C,1
YCR004C,2
YCR016W,1
YCR031C,1
YCR034W,1
YCR035C,1
YCR053W,1
YCR057C,1
YCR061W,2
YCR062W,2
YCR072C,1
YCR091W,2
YDL021W,2
YDL022W,2
YDL023C,2
YDL027C,2
YDL031W,1
YDL050C,1
YDL051W,1
YDL060W,1
YDL061C,1
YDL062W,1
YDL063C,1
YDL075W,1
YDL081C,1
YDL082W,1
YDL083C,1
YDL084W,1
YDL110C,2
YDL111C,1
YDL124W,2
YDL136W,1
YDL143W,1
YDL150W,1
YDL151C,1
YDL153C,1
YDL167C,1
YDL191W,1
YDL199C,2
YDL201W,1
YDL204W,2
YDL222C,2
YDR001C,2
YDR003W,2
YDR012W,1
YDR023W,1
YDR025W,1
YDR032C,2
YDR037W,1
YDR059C,2
YDR064W,1
YDR070C,2
YDR074W,2
YDR083W,1
YDR085C,2
YDR087C,1
YDR091C,1
YDR096W,2
YDR097C,1
YDR101C,1
YDR120C,1
YDR152W,1
YDR161W,1
YDR165W,1
YDR169C,2
YDR171W,2
YDR172W,1
YDR184C,1
YDR190C,1
YDR204W,2
YDR211W,1
YDR233C,1
YDR254W,2
YDR255C,2
YDR258C,2
YDR272W,2
YDR280W,1
YDR286C,2
YDR287W,2
YDR300C,1
YDR312W,1
YDR321W,1
YDR324C,1
YDR339C,1
YDR341C,1
YDR346C,1
YDR350C,2
YDR358W,2
YDR361C,1
YDR365C,1
YDR368W,2
YDR380W,2
YDR382W,1
YDR385W,1
YDR398W,1
YDR412W,1
YDR413C,1
YDR417C,1
YDR418W,1
YDR429C,1
YDR440W,1
YDR447C,1
YDR449C,1
YDR450W,1
YDR453C,2
YDR454C,1
YDR465C,1
YDR471W,1
YDR474C,2
YDR496C,1
YDR500C,1
YDR512C,2
YDR513W,2
YDR516C,2
YDR533C,2
YEL005C,2
YEL011W,2
YEL012W,2
YEL026W,1
YEL039C,2
YEL040W,1
YEL042W,1
YEL054C,1
YEL060C,2
YER006W,1
YER009W,1
YER025W,1
YER035W,2
YER036C,1
YER037W,2
YER038C,2
YER043C,1
YER049W,1
YER053C,2
YER056C.A,1
YER070W,1
YER074W,1
YER079W,2
YER082C,1
YER102W,1
YER103W,2
YER110C,1
YER117W,1
YER118C,1
YER119C,2
YER126C,1
YER127W,1
YER131W,1
YER141W,2
YER142C,2
YER150W,2
YER158C,2
YER165W,1
YFL002C,1
YFL014W,2
YFL022C,1
YFL023W,1
YFL044C,2
YFL045C,1
YFR001W,1
YFR031C.A,1
YFR053C,2
YGL006W,2
YGL008C,1
YGL010W,2
YGL029W,1
YGL030W,1
