gene,cluster
VNG0013C,1
VNG0014C,2
VNG0017H,2
VNG0018H,2
VNG0019H,2
VNG0020H,2
VNG0021H,1
VNG0022H,2
VNG0023H,2
VNG0024H,2
VNG0025H,2
VNG0027H,2
VNG0028C,2
VNG0029H,2
VNG0030H,2
VNG0031H,2
VNG0032H,2
VNG0033H,2
VNG0034H,2
VNG0037H,2
VNG0042G,1
VNG0049H,1
VNG0050C,1
VNG0053H,2
VNG0054H,2
VNG0055H,2
VNG0057H,2
VNG0058H,2
VNG0062G,2
VNG0063G,1
VNG0064G,2
VNG0073C,2
VNG0076H,2
VNG0079H,2
VNG0081G,2
VNG0101G,1
VNG0104G,2
VNG0105H,2
VNG0112H,1
VNG0113H,2
VNG0116H,2
VNG0117H,2
VNG0118H,2
VNG0121H,2
VNG0132C,2
VNG0133G,1
VNG0138H,2
VNG0139H,2
VNG0140H,2
VNG0141H,2
VNG0143H,2
VNG0146H,1
VNG0148H,2
VNG0149G,2
VNG0154G,2
VNG0157G,2
VNG0159G,2
VNG0160G,2
VNG0161G,2
VNG0162G,2
VNG0167H,2
VNG0168H,2
VNG0170C,2
VNG0171C,2
VNG0176H,2
VNG0177G,1
VNG0188H,2
VNG0189C,2
VNG0192G,2
VNG0194H,2
VNG0196H,2
VNG0198H,2
VNG0199H,2
VNG0200C,2
VNG0203C,2
VNG0204H,2
VNG0205H,2
VNG0207H,2
VNG0208H,2
VNG0209H,2
VNG0214C,2
VNG0215C,2
VNG0216H,2
VNG0218G,2
VNG0219H,2
VNG0220H,2
VNG0222C,2
VNG0231C,2
VNG0233H,1
VNG0234C,1
VNG0237H,1
VNG0243C,2
VNG0247C,2
VNG0248C,1
VNG0249G,1
VNG0254G,2
VNG0258H,1
VNG0261H,2
VNG0280H,2
VNG0285C,1
VNG0286C,1
VNG0287H,1
VNG0289H,2
VNG0291H,2
VNG0293H,2
VNG0303G,2
VNG0305G,2
VNG0307G,2
VNG0308G,2
VNG0314G,2
VNG0315G,1
VNG0316C,2
VNG0319H,2
VNG0324G,2
VNG0330G,1
VNG0346H,2
VNG0347H,2
VNG0355G,2
VNG0357H,2
VNG0367H,2
VNG0371G,2
VNG0375G,1
VNG0378C,1
VNG0387G,2
VNG0394C,1
VNG0402H,2
VNG0407H,2
VNG0409C,2
VNG0410G,1
VNG0414G,2
VNG0415G,2
VNG0426G,1
VNG0430H,2
VNG0439C,1
VNG0446G,2
VNG0451G,1
VNG0452G,1
VNG0453G,1
VNG0455G,1
VNG0457G,1
VNG0462C,2
VNG0466C,2
VNG0467G,2
VNG0469H,2
VNG0470G,2
VNG0473G,1
VNG0474G,1
VNG0475C,1
VNG0479G,2
VNG0482H,2
VNG0486G,1
VNG0491G,1
VNG0498C,2
VNG0499G,2
VNG0501G,1
VNG0502G,2
VNG0503C,2
VNG0505C,2
VNG0506H,2
VNG0507C,1
VNG0511H,2
VNG0518H,2
VNG0520H,2
VNG0524G,2
VNG0525C,2
VNG0527C,2
VNG0532H,2
VNG0535C,2
VNG0536G,2
VNG0537C,1
VNG0540G,1
VNG0544H,2
VNG0546C,1
VNG0548C,1
VNG0549G,1
VNG0550G,1
VNG0551G,1
VNG0553C,2
VNG0556G,2
VNG0559G,1
VNG0573C,2
VNG0586C,1
VNG0595H,2
VNG0596H,2
VNG0598C,1
VNG0600C,1
VNG0602C,2
VNG0609C,2
VNG0612H,2
VNG0613H,2
VNG0614G,2
VNG0615C,2
VNG0617H,1
VNG0620G,1
VNG0622H,2
VNG0628G,1
VNG0635G,1
VNG0636G,1
VNG0642C,1
VNG0643G,1
VNG0648G,1
VNG0651G,2
VNG0652H,2
VNG0653G,2
VNG0654C,2
VNG0659H,1
VNG0682C,2
VNG0688H,2
VNG0700G,2
VNG0702H,1
VNG0705C,2
VNG0713C,2
VNG0715G,2
VNG0716G,2
VNG0718C,2
VNG0719G,2
VNG0732G,2
VNG0734G,2
VNG0743H,2
VNG0745G,2
VNG0746C,2
VNG0748G,2
VNG0749G,2
VNG0750C,2
VNG0771G,1
VNG0772H,2
VNG0775G,2
VNG0782H,1
VNG0787G,1
VNG0788H,1
VNG0789C,1
VNG0790G,1
VNG0794G,2
VNG0795G,2
VNG0799C,2
VNG0800H,2
VNG0811H,2
VNG0812G,2
VNG0813G,2
