gene,cluster
YAL003W,1
YAL012W,1
YAL034C,2
YAL054C,2
YAL060W,2
YAL061W,2
YAR071W,1
YAR073W,1
YAR075W,1
YBL005W,1
YBL015W,2
YBL024W,1
YBL027W,1
YBL028C,1
YBL039C,1
YBL042C,1
YBL043W,2
YBL045C,2
YBL048W,2
YBL049W,2
YBL054W,1
YBL064C,2
YBL072C,1
YBL075C,2
YBL077W,1
YBL087C,1
YBL092W,1
YBR001C,2
YBR006W,2
YBR018C,2
YBR019C,2
YBR031W,1
YBR034C,1
YBR046C,2
YBR047W,2
YBR048W,1
YBR050C,2
YBR051W,2
YBR052C,2
YBR053C,2
YBR054W,2
YBR056W,2
YBR067C,1
YBR068C,1
YBR069C,1
YBR072W,2
YBR079C,1
YBR084C-A,1
YBR093C,1
YBR105C,2
YBR106W,1
YBR116C,2
YBR117C,2
YBR121C,1
YBR126C,2
YBR132C,2
YBR139W,2
YBR154C,1
YBR162C,1
YBR181C,1
YBR183W,2
YBR189W,1
YBR191W,1
YBR203W,2
YBR212W,2
YBR230C,2
YBR238C,1
YBR241C,2
YBR244W,1
YBR247C,1
YBR249C,1
YBR266C,1
YBR267W,1
YBR269C,2
YBR280C,2
YBR285W,2
YBR294W,2
YBR296C,1
YBR297W,2
YBR298C,2
YCL025C,1
YCL030C,1
YCL035C,2
YCL037C,1
YCL040W,2
YCL042W,2
YCL054W,1
YCL059C,1
YCL064C,1
YCR005C,2
YCR010C,2
YCR012W,1
YCR013C,1
YCR016W,1
YCR021C,2
YCR031C,1
YCR034W,1
YCR057C,1
YCR061W,2
YCR072C,1
YCR091W,2
YCR098C,2
YCR102C,2
YDL014W,1
YDL020C,2
YDL021W,2
YDL022W,2
YDL023C,2
YDL038C,1
YDL039C,1
YDL051W,1
YDL061C,1
YDL062W,1
YDL063C,1
YDL075W,1
YDL081C,1
YDL082W,1
YDL083C,1
YDL110C,2
YDL124W,2
YDL148C,1
YDL153C,1
YDL167C,1
YDL169C,2
YDL181W,2
YDL182W,1
YDL191W,1
YDL199C,2
YDL204W,2
YDL218W,2
YDL222C,2
YDL223C,2
YDR001C,2
YDR012W,1
YDR018C,2
YDR019C,1
YDR023W,1
YDR025W,1
YDR032C,2
YDR033W,1
YDR037W,1
YDR043C,2
YDR046C,1
YDR055W,2
YDR059C,2
YDR064W,1
YDR070C,2
YDR074W,2
YDR077W,2
YDR083W,1
YDR085C,2
YDR087C,1
YDR091C,1
YDR096W,2
YDR101C,1
YDR111C,1
YDR112W,1
YDR120C,1
YDR144C,1
YDR148C,2
YDR158W,1
YDR165W,1
YDR171W,2
YDR178W,2
YDR184C,1
YDR204W,2
YDR209C,1
YDR214W,2
YDR223W,2
YDR234W,1
YDR247W,2
YDR256C,2
YDR258C,2
YDR262W,2
YDR275W,2
YDR277C,2
YDR309C,1
YDR312W,1
YDR313C,2
YDR321W,1
YDR324C,1
YDR341C,1
YDR342C,2
YDR343C,2
YDR353W,1
YDR358W,2
YDR361C,1
YDR365C,1
YDR380W,2
YDR382W,1
YDR384C,1
YDR385W,1
YDR398W,1
YDR399W,1
YDR412W,1
YDR417C,1
YDR450W,1
YDR453C,2
YDR465C,1
YDR471W,1
YDR492W,1
YDR496C,1
YDR500C,1
YDR502C,1
YDR508C,1
YDR513W,2
YDR516C,2
YDR529C,2
YDR536W,2
YEL011W,2
YEL012W,2
YEL024W,2
YEL026W,1
YEL039C,2
YEL040W,1
YEL042W,1
YEL054C,1
YEL060C,2
YEL065W,1
YEL071W,1
YER006W,1
YER024W,2
YER025W,1
YER036C,1
YER037W,2
YER043C,1
YER049W,1
YER052C,1
YER053C,2
YER054C,2
YER055C,1
YER056C,1
YER056C-A,1
YER062C,1
YER067W,2
YER069W,2
YER070W,1
YER074W,1
YER079W,2
YER081W,2
YER084W,2
YER086W,1
YER091C,1
YER096W,2
YER102W,1
YER103W,2
YER110C,1
YER117W,1
YER121W,2
YER124C,1
YER126C,1
YER127W,1
YER131W,1
YER150W,2
YER158C,2
YER162C,2
YER188W,2
YFL014W,2
YFL016C,2
YFL026W,1
YFL045C,1
YFL051C,2
YFL052W,2
YFL053W,2
YFL056C,2
YFR001W,1
YFR009W,1
YFR015C,2
YFR030W,2
YFR031C-A,1
YFR053C,2
YGL008C,1
YGL029W,1
YGL030W,1
YGL031C,1
YGL037C,2
YGL055W,1
YGL062W,2
YGL076C,1
YGL078C,1
YGL096W,2
YGL099W,1
YGL102C,1
YGL103W,1
YGL111W,1
YGL120C,1
YGL121C,2
YGL123W,1
YGL135W,1
YGL147C,1
YGL148W,1
YGL156W,2
YGL157W,1
YGL158W,1
YGL171W,1
YGL177W,2
YGL180W,2
YGL184C,2
YGL187C,2
YGL191W,2
YGL192W,2
YGL202W,1
YGL205W,2
YGL208W,2
YGL234W,1
YGL245W,1
YGL248W,2
YGL255W,1
YGL259W,2
YGL262W,2
YGR008C,2
YGR019W,2
YGR027C,1
YGR034W,1
YGR043C,2
YGR052W,2
YGR053C,2
YGR061C,1
YGR066C,2
YGR079W,1
YGR085C,1
YGR088W,2
YGR094W,1
YGR110W,2
YGR118W,1
YGR123C,1
YGR124W,1
YGR128C,1
YGR138C,1
YGR142W,2
YGR144W,2
YGR145W,1
YGR146C,2
YGR148C,1
YGR159C,1
YGR160W,1
YGR161C,2
YGR162W,1
YGR177C,1
YGR183C,2
YGR185C,1
YGR187C,1
YGR194C,2
YGR201C,2
YGR209C,2
YGR214W,1
YGR225W,2
YGR234W,1
YGR236C,2
YGR243W,2
YGR244C,2
YGR245C,1
YGR248W,2
YGR249W,1
YGR250C,2
YGR256W,2
YGR264C,1
YGR265W,1
YGR272C,1
YGR280C,1
YGR285C,1
YGR289C,2
YGR290W,2
YHL001W,1
YHL011C,1
YHL015W,1
YHL016C,2
YHL021C,2
YHL024W,2
YHL032C,2
YHL033C,1
YHL047C,1
YHR010W,1
YHR019C,1
YHR020W,1
YHR021C,1
YHR029C,2
YHR033W,2
YHR052W,1
YHR053C,2
YHR055C,2
YHR064C,1
YHR065C,1
YHR066W,1
YHR068W,1
YHR087W,2
YHR088W,1
YHR089C,1
YHR094C,1
YHR096C,2
YHR097C,2
YHR104W,2
YHR128W,1
YHR137W,2
YHR138C,2
YHR139C,2
YHR140W,2
YHR141C,1
YHR143W,1
YHR148W,1
YHR160C,2
YHR169W,1
YHR170W,1
YHR179W,1
YHR196W,1
YHR197W,1
YHR203C,1
YHR208W,1
YHR209W,2
YHR215W,1
YHR216W,1
YIL015W,1
YIL018W,1
YIL019W,1
YIL024C,2
YIL045W,2
YIL047C,1
YIL052C,1
YIL053W,1
YIL057C,2
YIL078W,1
YIL087C,2
YIL097W,2
YIL099W,2
YIL101C,2
YIL107C,2
YIL111W,2
YIL113W,2
YIL117C,1
YIL119C,2
YIL127C,1
YIL133C,1
YIL136W,2
YIL146C,2
YIL155C,2
YIL160C,2
YIR012W,1
YIR016W,2
YIR017C,2
YIR026C,1
YIR027C,2
YIR028W,2
YIR029W,2
YIR030C,2
YIR031C,2
YIR032C,2
YIR038C,2
YIR039C,2
YJL034W,1
YJL045W,2
YJL048C,2
YJL057C,2
YJL066C,2
YJL069C,1
YJL079C,2
YJL080C,1
YJL088W,2
YJL103C,2
YJL107C,1
YJL109C,1
YJL116C,2
YJL122W,1
YJL136C,1
YJL138C,1
YJL141C,2
YJL142C,2
YJL144W,2
YJL148W,1
YJL153C,2
YJL155C,2
YJL157C,1
YJL158C,1
YJL161W,2
YJL163C,2
YJL164C,2
YJL166W,2
YJL177W,1
YJL185C,2
YJL188C,1
YJL189W,1
YJL190C,1
YJL200C,1
YJL212C,1
YJL217W,2
YJR002W,1
YJR007W,1
YJR008W,2
YJR010W,2
YJR016C,1
YJR026W,1
YJR028W,1
YJR041C,1
YJR048W,2
YJR063W,1
YJR070C,1
YJR071W,1
YJR073C,2
YJR095W,2
YJR096W,2
YJR109C,1
YJR123W,1
YJR143C,1
YJR145C,1
YJR150C,1
YJR152W,2
YJR155W,2
YKL006W,1
YKL009W,1
YKL026C,2
YKL029C,1
YKL035W,2
YKL036C,2
YKL050C,2
YKL056C,1
YKL062W,2
YKL071W,2
YKL078W,1
YKL081W,1
YKL082C,1
YKL085W,2
YKL091C,2
YKL093W,2
YKL096W,2
YKL099C,1
YKL103C,2
YKL107W,2
YKL109W,2
YKL141W,2
YKL142W,2
YKL148C,2
YKL150W,2
YKL151C,2
YKL163W,2
YKL172W,1
YKL178C,2
YKL180W,1
YKL181W,1
YKL187C,2
YKL188C,2
YKL209C,1
YKL216W,1
YKL217W,2
YKL221W,2
YKR009C,2
YKR011C,2
YKR013W,1
YKR024C,1
YKR039W,2
YKR042W,1
YKR046C,2
YKR056W,1
YKR057W,1
YKR058W,2
YKR059W,1
YKR060W,1
YKR066C,2
YKR067W,2
YKR076W,2
YKR081C,1
YKR091W,2
YKR092C,1
YKR094C,1
YKR097W,2
YLL008W,1
YLL011W,1
YLL020C,2
YLL024C,1
YLL026W,2
YLL035W,1
YLL039C,2
YLL041C,2
YLL044W,1
YLL045C,1
YLL055W,2
YLL060C,2
YLR002C,1
YLR003C,1
YLR009W,1
YLR029C,1
YLR042C,1
YLR044C,1
YLR048W,1
YLR053C,2
YLR056W,1
YLR058C,1
YLR060W,1
YLR061W,1
YLR062C,1
YLR074C,1
YLR075W,1
YLR076C,1
YLR080W,2
YLR081W,2
YLR083C,1
YLR092W,2
YLR108C,1
YLR109W,1
YLR134W,1
YLR136C,1
YLR142W,2
YLR149C,2
YLR150W,1
YLR152C,2
YLR153C,1
YLR156W,2
YLR159W,2
YLR164W,2
YLR167W,1
YLR174W,2
YLR175W,1
YLR178C,2
YLR180W,1
YLR183C,1
YLR185W,1
YLR186W,1
YLR194C,1
YLR196W,1
YLR197W,1
YLR198C,1
YLR214W,1
YLR216C,1
YLR217W,1
YLR221C,1
YLR222C,1
YLR249W,1
YLR251W,2
YLR252W,2
YLR258W,2
YLR259C,1
YLR264W,1
YLR267W,2
YLR270W,2
YLR276C,1
YLR284C,2
YLR286C,1
YLR293C,1
YLR297W,2
YLR299W,2
YLR300W,1
YLR303W,2
YLR304C,2
YLR311C,2
YLR312C,2
YLR314C,1
YLR325C,1
YLR327C,2
YLR333C,1
YLR339C,1
YLR340W,1
YLR344W,1
YLR346C,2
YLR354C,1
YLR356W,2
YLR359W,1
YLR367W,1
YLR372W,1
YLR377C,2
YLR388W,1
YLR401C,1
YLR409C,1
YLR413W,1
YLR432W,1
YLR435W,1
YLR438W,2
YLR448W,1
YLR449W,1
YLR460C,2
YML008C,1
YML022W,1
YML024W,1
YML026C,1
YML028W,1
YML040W,1
YML042W,2
YML043C,1
YML045W,1
YML054C,2
YML056C,1
YML063W,1
YML070W,2
YML073C,1
YML080W,1
YML091C,2
YML093W,1
YML100W,2
YML118W,2
YML120C,2
YML123C,1
YML128C,2
YML130C,1
YML131W,2
YMR014W,1
YMR015C,1
YMR017W,2
YMR040W,2
YMR049C,1
YMR051C,1
YMR081C,2
YMR090W,2
YMR093W,1
YMR096W,2
YMR104C,2
YMR105C,2
YMR107W,2
YMR110C,2
YMR114C,2
YMR116C,1
YMR118C,2
YMR120C,1
YMR121C,1
YMR131C,1
YMR136W,2
YMR142C,1
YMR169C,2
YMR173W,2
YMR173W-A,2
