COG_category,probability,expect,count,logp,cluster
C,1.1649410662927407e-10,14.067869415807559,39,22.873180431075536,repressed
E,0.680794827857576,16.323024054982817,14,0.38449429890580306,repressed
F,0.07498817694426309,6.8728522336769755,10,2.590424818615593,repressed
G,0.3404247213926807,5.691580756013745,6,1.077561260382112,repressed
H,0.6363321576615788,11.705326460481098,10,0.4520345914983712,repressed
I,0.954185663076951,6.121134020618556,2,0.04689701108432321,repressed
J,4.6397637943113014e-32,16.00085910652921,69,72.1480595172655,repressed
K,0.6558194820415417,21.26288659793814,19,0.42186970772168353,repressed
L,0.9759205406625302,20.189003436426116,12,0.024374109138887847,repressed
M,0.34640593860971897,6.65807560137457,7,1.0601439586483188,repressed
O,0.7217030235301483,9.235395189003436,7,0.3261415494570274,repressed
P,0.5766262256799042,14.282646048109966,13,0.5505610114963457,repressed
Q,0.8484173673986326,5.798969072164948,3,0.16438258573423928,repressed
S,0.9999999999999285,83.22594501718213,34,7.149836278586264e-14,repressed
T,0.967561118175002,6.5506872852233675,2,0.0329766848331068,repressed
U,0.18389942187791947,1.5034364261168385,2,1.6933662910531517,repressed
C,0.9845391941122028,31.439999999999998,21,0.01558157050982175,induced
D,0.8385392904863391,6.72,4,0.17609384075306572,induced
E,1.867716631717556e-5,36.48,58,10.888208832753271,induced
F,0.9298381194835177,15.36,10,0.07274477305740455,induced
G,0.11148007094768891,12.719999999999999,16,2.193909439952294,induced
H,0.9976308266632754,26.16,14,0.0023719842684750032,induced
I,0.019290962317551823,13.68,20,3.948118566447645,induced
J,0.9999999999331972,35.76,7,6.680278552774175e-11,induced
K,0.4963532620052361,47.519999999999996,47,0.7004673839820318,induced
L,0.8816513827190088,45.12,38,0.12595855879845408,induced
M,0.41660394097888337,14.879999999999999,15,0.8756192903371115,induced
N,0.02076082349795051,10.559999999999999,16,3.87468755393985,induced
O,0.7881402830649262,20.64,17,0.2380791807746155,induced
P,0.059092265784778546,31.919999999999998,39,2.8286552297196748,induced
Q,0.30293359020261795,12.959999999999999,14,1.1942416717437394,induced
S,0.01107921631015382,186,208,4.502684330295015,induced
T,0.02181383679394331,14.639999999999999,21,3.825210795215167,induced
V,0.4274547385308143,10.08,10,0.8499068709921734,induced
