COG_category,probability,expect,count,logp,cluster
A,7.092379914420967e-7,22.003958044725906,45,14.159074694747849,repressed
B,0.9855458089298268,9.189392440134572,3,0.014559670537314372,repressed
C,0.9953301413152312,19.390461112210566,9,0.004680796540280996,repressed
D,0.9993909280461407,13.067484662576685,3,6.092575135317286e-4,repressed
"D, Z",0.009809560882399962,0.5058381159707104,2,4.624397768649338,repressed
E,2.4936491944344962e-6,16.102513358400948,35,12.901763380409694,repressed
"E, J",0,0.16861270532357014,2,Inf,repressed
F,5.919773634257787e-7,6.913120918266376,21,14.33979744024993,repressed
G,0.9563292098449211,22.847021571343756,15,0.0446530634471692,repressed
H,0.4737229769854949,9.442311498119928,9,0.7471325648762445,repressed
I,0.8468598308460155,11.80288937264991,8,0.16622008699063573,repressed
J,1.8226309129098509e-037,37.347714229170784,122,84.59536742695816,repressed
K,0.9998363375969888,42.23748268355432,22,1.6367579716375678e-4,repressed
O,0.9699133011869505,36.58895705521472,26,0.03054859169899705,repressed
P,0.7063766671645022,12.393033841282406,10,0.34760666086573816,repressed
Q,0.6645270543229664,5.564219275677814,4,0.40867968785330777,repressed
S,0.9998184782267798,93.66435780724322,65,1.815382502912438e-4,repressed
T,0.9989297194930686,18.716010290916287,7,0.0010708536661103506,repressed
U,0.9999999999997884,44.00791608945181,7,2.1160850849357723e-13,repressed
V,0.21202668993329285,1.6018207005739165,2,1.551043116322591,repressed
A,0.9999981037358701,19.511269722013523,3,1.89626592785247e-6,induced
C,5.613709551068091e-19,17.193839218632608,59,42.023905026824906,induced
E,8.622285680355961e-4,14.278362133734035,26,7.055990162315214,induced
F,0.4153807069687917,6.129977460555973,6,0.8785598130847795,induced
G,2.0609048813476683e-12,20.258827948910593,54,26.907875966784584,induced
H,0.6067317397428283,8.372652141247183,7,0.499668530019349,induced
I,0.030881299766512903,10.465815176558978,16,3.477604463826873,induced
K,0.9998779793190825,37.4526671675432,18,1.2202812604642127e-4,induced
L,0.9999999695618857,21.60443275732532,2,3.043811471453602e-8,induced
M,0.2638018216076663,2.6164537941397445,3,1.3325571334624673,induced
O,0.1672306973643994,32.44402704733283,37,1.788380998506313,induced
"O, T",1.4485994546194523e-4,0.3737791134485349,3,8.839743175685186,induced
P,0.08084512295836578,10.989105935386927,15,2.515220016876607,induced
Q,0.11694619769130551,4.933884297520661,7,2.146041298739522,induced
S,0.00725198931733243,83.05371900826447,102,4.926479459155644,induced
T,0.6001982973281375,16.59579263711495,15,0.5104951828207182,induced
U,0.9999976571970102,39.022539444027046,15,2.3428057341970174e-6,induced
V,0.16539544034636147,1.4203606311044328,2,1.7994160642068668,induced
Z,0.9942113892107021,8.746431254695718,2,0.0058054297336879975,induced
