"query","NOGs","COG_category","HMM_description"
"WP_008444919.1","COG0640@NOG","K","Transcriptional regulator, arsr family"
"WP_008526012.1","0ZHP4@NOG","K","Inherit from arCOG: Phage PhiH1 repressor protein"
"WP_010890407.1","COG3039@NOG","L","Transposase"
"WP_010890411.1","COG2101@NOG","K","General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation (By similarity)"
"WP_010890412.1","COG1271@NOG","C","Cytochrome bd ubiquinol oxidase subunit I"
"WP_010890413.1","COG1294@NOG","C","Cytochrome d ubiquinol oxidase, subunit"
"WP_010890414.1","COG2210@NOG","S","Inherit from COG: pyridine nucleotide-disulfide oxidoreductase"
"WP_010890415.1","COG0425@NOG","O","SirA family"
"WP_010890416.1","COG0607@NOG","P","Fused rhodanese domain-containing protein hydrolase"
"WP_010890417.1","COG2391@NOG","S","YeeE YedE family protein"
"WP_010890418.1","COG2391@NOG","S","Pfam:DUF395"
"WP_010890420.1","COG0306@NOG","P","phosphate transporter"
"WP_010890422.1","COG0607@NOG","P","domain protein"
"WP_010890424.1","COG0477@NOG","G","Major Facilitator Superfamily"
"WP_010890425.1","COG0730@NOG","S","Sulfite exporter TauE/SafE"
"WP_010890426.1","COG3355@NOG","K","Transcriptional regulator"
"WP_010890427.1","COG0526@NOG","O","Thioredoxin"
"WP_010890428.1","COG0492@NOG","O","Thioredoxin reductase"
"WP_010890429.1","COG0582@NOG","L","Integrase"
"WP_010890432.1","COG3385@NOG","L","Transposase"
"WP_010890434.1","111QE@NOG","K","transcriptional regulator trmb"
"WP_010890435.1","111U6@NOG",NA,NA
"WP_010890436.1","COG3436@NOG","L","Pfam:Transposase_25"
"WP_010890437.1","111P6@NOG",NA,NA
"WP_010890438.1","COG1192@NOG","D","Cobyrinic acid ac-diamide synthase"
"WP_010890439.1","COG2253@NOG","S","Nucleotidyl transferase of unknown function (DUF1814)"
"WP_010890440.1","COG5340@NOG","K","Inherit from arCOG: cobyrinic Acid a,c-diamide synthase"
"WP_010890442.1","COG3269@NOG","S","TRAM domain"
"WP_010890446.1","110HE@NOG",NA,NA
"WP_010890447.1","COG3440@NOG","V","Inherit from COG: ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase"
"WP_010890450.1","110KV@NOG",NA,NA
"WP_010890451.1","0YK0Z@NOG",NA,NA
"WP_010890452.1","0YUWT@NOG",NA,NA
"WP_010890455.1","111JR@NOG",NA,NA
"WP_010890456.1","COG0394@NOG","T","Protein-tyrosine phosphatase, low molecular weight"
"WP_010890457.1","11UF3@NOG","P","arsenical resistance operon trans-acting repressor arsD"
"WP_010890458.1","COG0003@NOG","D","Anion-transporting ATPase"
"WP_010890459.1","COG0640@NOG","K","Transcriptional regulator, arsr family"
"WP_010890462.1","COG3385@NOG","L","Transposase"
"WP_010890465.1","10ZUJ@NOG","L","Phage integrase family"
"WP_010890466.1","COG1896@NOG","S","HDc"
"WP_010890467.1","COG2101@NOG","K","General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation (By similarity)"
"WP_010890469.1","0Z4Q9@NOG",NA,NA
"WP_010890473.1","0Z77K@NOG","T","Inherit from NOG: Histidine kinase"
"WP_010890474.1","COG3676@NOG COG3677@NOG","L","Transposase"
"WP_010890475.1","11SUM@NOG","L","integrase family"
"WP_010890476.1","110TV@NOG",NA,NA
"WP_010890479.1","COG1695@NOG","K","Transcriptional regulator"
"WP_010890480.1","COG2985@NOG","P","YidE YbjL duplication"
"WP_010890481.1","COG2101@NOG","K","Transcription factor TFIID (or TATA-binding protein, TBP)"
"WP_010890482.1","COG0553@NOG","K","Helicase"
"WP_010890484.1","COG1002@NOG","V","Inherit from COG: Type II restriction enzyme, methylase"
"WP_010890485.1","COG1002@NOG","V","Eco57I restriction-modification methylase"
"WP_010890486.1","110TV@NOG",NA,NA
"WP_010890488.1","COG1061@NOG","K","DNA repair helicase RAD25"
"WP_010890489.1","COG3372@NOG","L","Protein of unknown function (DUF790)"
"WP_010890490.1","0XZEH@NOG","S","Inherit from arCOG: Plasmid pRiA4b ORF-3-like protein"
"WP_010890491.1","0YEES@NOG","L","Inherit from arCOG: Involved in DNA double-strand break repair (DSBR). The Rad50 Mre11 complex possesses single-strand endonuclease activity and ATP-dependent double-strand-specific 3'-5' exonuclease activity (By similarity)"
"WP_010890494.1","COG1192@NOG","D","cobyrinic Acid a,c-diamide synthase"
"WP_010890495.1","11023@NOG",NA,NA
"WP_010890496.1","COG3385@NOG","L","Transposase"
"WP_010890498.1","110DD@NOG",NA,NA
"WP_010890500.1","110TF@NOG",NA,NA
"WP_010890501.1","COG0582@NOG","L","Inherit from COG: Integrase"
"WP_010890504.1","111Q5@NOG",NA,NA
"WP_010890505.1","110XX@NOG",NA,NA
"WP_010890506.1","111CA@NOG","O","Inherit from NOG: Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane (By similarity)"
"WP_010890508.1","COG1479@NOG COG3472@NOG","S","Pfam:DUF2081"
"WP_010890512.1","COG3385@NOG","L","Transposase"
"WP_010890513.1","COG2101@NOG","K","General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation (By similarity)"
"WP_010890514.1","COG0642@NOG COG0784@NOG","T","HisKA"
"WP_010890515.1","COG1192@NOG","D","Cobyrinic acid ac-diamide synthase"
"WP_010890516.1","0Y5YS@NOG","Q","gas vesicle synthesis family protein"
"WP_010890517.1","COG0714@NOG","S","Gas vesicle protein GvpN"
"WP_010890518.1","1115T@NOG","S","Halobacterial gas vesicle protein C (GVPC) repeat"
"WP_010890519.1","1257U@NOG","Q","Gas vesicles are small, hollow, gas filled protein structures that are found in several microbial planktonic microorganisms. They allow the positioning of the organism at the favorable depth for growth"
"WP_010890520.1","COG0467@NOG","T","GvpD gas vesicle"
"WP_010890521.1","COG1695@NOG","K","PadR family"
