acc,locus_tag,old_locus_tag,length_nt,start,end,type,annotation
WP_010901943.1,VNG_RS00010,VNG0001H,1206,248,1453,protein_coding,hypothetical protein
WP_010901944.1,VNG_RS00015,VNG0002G,666,1450,2115,protein_coding,ABC transporter ATP-binding protein
WP_010901945.1,VNG_RS00020,VNG0003C,1110,2145,3254,protein_coding,ABC transporter permease
WP_010901946.1,VNG_RS00025,VNG0005H,2322,3322,5643,protein_coding,hypothetical protein
WP_010901947.1,VNG_RS00030,VNG0006G,1806,5646,7451,protein_coding,glutamine--fructose-6-phosphate aminotransferase
WP_010901948.1,VNG_RS00035,VNG0008G,1188,7454,8641,protein_coding,glucose-1-phosphate thymidylyltransferase
WP_010901949.1,VNG_RS00040,VNG0009G,1206,8655,9860,protein_coding,glucose-1-phosphate thymidylyltransferase
WP_010901950.1,VNG_RS00045,VNG0011C,1434,9980,11413,protein_coding,hypothetical protein
WP_012289069.1,VNG_RS00050,VNG0013C,1257,11478,12734,protein_coding,transposase
WP_012289070.1,VNG_RS00055,,351,13462,13812,protein_coding,hypothetical protein
WP_010901954.1,VNG_RS00060,VNG0016H,372,13809,14180,protein_coding,MarR family transcriptiol regulator
WP_010901955.1,VNG_RS00065,VNG0017H,297,14484,14780,protein_coding,hypothetical protein
WP_010901956.1,VNG_RS00070,VNG0018H,264,14868,15131,protein_coding,hypothetical protein
WP_010901958.1,VNG_RS00075,VNG0020H,633,15419,16051,protein_coding,hypothetical protein
WP_010890436.1,VNG_RS00080,VNG0021H,1365,16342,17706,protein_coding,transposase
WP_010901959.1,VNG_RS00085,VNG0022H,546,18357,18902,protein_coding,hypothetical protein
WP_010901960.1,VNG_RS00090,VNG0023H,636,18895,19530,protein_coding,hypothetical protein
WP_012289073.1,VNG_RS00095,VNG0024H,438,19703,20140,protein_coding,hypothetical protein
WP_010901962.1,VNG_RS00100,VNG0025H,264,20219,20482,protein_coding,hypothetical protein
WP_012289074.1,VNG_RS00105,VNG0026C,1257,20533,21789,protein_coding,transposase
WP_010901964.1,VNG_RS13175,VNG0027H,648,22103,22750,protein_coding,hypothetical protein
WP_010901965.1,VNG_RS00110,VNG0028C,555,23336,23890,protein_coding,transposase
WP_010901966.1,VNG_RS13180,VNG0029H,456,24109,24564,protein_coding,hypothetical protein
WP_010901967.1,VNG_RS13185,VNG0030H,396,26201,26596,protein_coding,hypothetical protein
WP_010901968.1,VNG_RS00115,VNG0031H,2361,26648,29008,protein_coding,hypothetical protein
WP_010901969.1,VNG_RS13190,VNG0032H,384,29046,29429,protein_coding,hypothetical protein
WP_010901970.1,VNG_RS13195,VNG0033H,438,29476,29913,protein_coding,hypothetical protein
WP_049892464.1,VNG_RS00120,,285,29913,30197,protein_coding,hypothetical protein
WP_010901972.1,VNG_RS00125,VNG0035H,813,30356,31168,protein_coding,IS5/IS1182 family transposase
WP_010901973.1,VNG_RS00135,VNG0037H,249,31838,32086,protein_coding,type II toxin-antitoxin system HicB family antitoxin
WP_010901974.1,VNG_RS00140,VNG0038H,255,32101,32355,protein_coding,type II toxin-antitoxin system HicA family toxin
WP_010901975.1,VNG_RS00145,VNG0039H,336,32555,32890,protein_coding,MarR family transcriptiol regulator
WP_012289078.1,VNG_RS00150,VNG0040C,405,33182,33586,protein_coding,transcriptiol regulator
WP_010901977.1,VNG_RS00155,VNG0041C,306,33610,33915,protein_coding,hypothetical protein
WP_010901978.1,VNG_RS00160,VNG0042G,1281,34651,35931,protein_coding,transposase
WP_010901979.1,VNG_RS00165,VNG0043H,393,36321,36713,protein_coding,IS200/IS605 family transposase ISH1-8
WP_010901980.1,VNG_RS00170,VNG0044H,1257,36715,37971,protein_coding,transposase
WP_012289079.1,VNG_RS00175,VNG0045C,1233,38200,39432,protein_coding,cell division control protein Cdc6
WP_010901982.1,VNG_RS00180,VNG0046G,1293,39611,40903,protein_coding,UDP-glucose/GDP-mannose dehydrogese family protein
WP_010901983.1,VNG_RS00185,VNG0047G,729,40991,41719,protein_coding,UTP--glucose-1-phosphate uridylyltransferase
WP_010901984.1,VNG_RS13205,VNG0049H,780,41880,42659,protein_coding,FkbM family methyltransferase
WP_010901985.1,VNG_RS13210,VNG0050C,1443,42707,44149,protein_coding,hypothetical protein
WP_010901986.1,VNG_RS00195,VNG0051G,1212,44245,45456,protein_coding,glycosyltransferase family 1 protein
WP_012289254.1,VNG_RS00200,,1167,45855,47021,protein_coding,ISH3 family transposase ISH3C
WP_010890532.1,VNG_RS00205,VNG0052H,1275,47199,48473,protein_coding,IS4 family transposase ISH8
WP_049892468.1,VNG_RS00210,VNG0053H,633,48590,49222,protein_coding,hypothetical protein
WP_010901988.1,VNG_RS00215,VNG0054H,621,49352,49972,protein_coding,hypothetical protein
WP_010901989.1,VNG_RS13215,VNG0055H,267,49985,50251,protein_coding,hypothetical protein
WP_012289081.1,VNG_RS00220,VNG0056H,1458,50564,52021,protein_coding,IS66 family transposase ISH10B
WP_049892469.1,VNG_RS00225,,423,52219,52641,protein_coding,hypothetical protein
WP_049892470.1,VNG_RS00230,,246,52809,53054,protein_coding,hypothetical protein
WP_010901991.1,VNG_RS00235,VNG0057H,1176,53192,54367,protein_coding,hypothetical protein
WP_010901992.1,VNG_RS00240,VNG0058H,1050,54696,55745,protein_coding,hypothetical protein
WP_010890432.1,VNG_RS00245,VNG0059H,1275,56287,57561,protein_coding,IS4 family transposase ISH8B
WP_010901993.1,VNG_RS13220,VNG0060G,1002,57660,58661,protein_coding,glycosyltransferase family 1 protein
WP_010901994.1,VNG_RS00250,VNG0061C,1356,58827,60182,protein_coding,hypothetical protein
WP_012289085.1,VNG_RS00255,VNG0062G,1089,60609,61697,protein_coding,glycosyltransferase family 1 protein
WP_010901996.1,VNG_RS00260,VNG0063G,987,61700,62686,protein_coding,KR domain-containing protein
WP_010901997.1,VNG_RS00265,VNG0064G,717,62927,63643,protein_coding,UTP--glucose-1-phosphate uridylyltransferase
WP_010901998.1,VNG_RS00270,VNG0065G,930,63881,64810,protein_coding,"GDP-mannose 4,6-dehydratase"
WP_012289086.1,VNG_RS00275,VNG0066H,297,64910,65206,protein_coding,hypothetical protein
WP_010902000.1,VNG_RS00280,VNG0067H,270,65203,65472,protein_coding,hypothetical protein
WP_010902001.1,VNG_RS00285,VNG0068H,162,65671,65832,protein_coding,"dTDP-glucose 4,6-dehydratase"
WP_010902002.1,VNG_RS13225,VNG0069H,198,66054,66251,protein_coding,hypothetical protein
WP_010902003.1,VNG_RS00290,VNG0070H,294,66241,66534,protein_coding,plasmid stabilization protein
WP_010902004.1,VNG_RS00295,VNG0072H,435,67057,67491,protein_coding,PIN domain-containing protein
