Entry,Protein names,Gene names  (ordered locus ),Gene ontology (biological process)
P02945,Bacteriorhodopsin (BR) (Bacterioopsin) (BO),VNG_1467G,phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]
Q9HSF6,Ribonuclease HI (Halo-RNase HI) (RNase HI) (EC 3.1.26.4),VNG_0255C,
O07683,Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS),VNG_0461G,aspartyl-tRNA aminoacylation [GO:0006422]
Q9HNL6,Probable bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein [Includes: tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein Kae1) (tRNA threonylcarbamoyladenosine biosynthesis protein Kae1); Serine/threonine-protein kinase Bud32 (EC 2.7.11.1)],VNG_2045G,tRNA threonylcarbamoyladenosine modification [GO:0002949]
Q48296,"Ornithine carbamoyltransferase, catabolic (cOTCase) (EC 2.1.3.3)",VNG_6315G,arginine biosynthetic process via ornithine [GO:0042450]; arginine catabolic process to ornithine [GO:0019547]; arginine deiminase pathway [GO:0019546]; citrulline biosynthetic process [GO:0019240]
Q9HR74,Putative dimethyl sulfoxide reductase catalytic subunit A (DMSO reductase subunit A) (EC 1.8.5.3),VNG_0829G,
Q9HS44,Probable bifunctional folylpolyglutamate synthase/dihydropteroate synthase [Includes: Probable folylpolyglutamate synthase (EC 6.3.2.17) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase); Probable dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)],VNG_0412G,folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]
Q9HPY5,Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1),VNG_1414G,cellular response to tetrahydrofolate [GO:1904482]; folic acid metabolic process [GO:0046655]; glycine biosynthetic process from serine [GO:0019264]; glycine metabolic process [GO:0006544]; L-serine catabolic process [GO:0006565]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate interconversion [GO:0035999]; tetrahydrofolate metabolic process [GO:0046653]
Q9HMP7,DNA protection during starvation protein (EC 1.16.-.-) (Bacterioferritin DpsA),VNG_2443G,cellular iron ion homeostasis [GO:0006879]
