"acc","locus_tag","gene_name","length_nt","start","end","type","annotation"
"NP_009332.1","YAL068C","PAU8",363,1807,2169,"protein_coding","seripauperin PAU8"
"NP_878038.1","YAL067W-A",NA,228,2480,2707,"protein_coding","hypothetical protein"
"NP_009333.1","YAL067C","SEO1",1782,7235,9016,"protein_coding","putative permease SEO1"
"NP_009335.1","YAL065C",NA,387,11565,11951,"protein_coding","hypothetical protein"
"NP_009336.1","YAL064W-B",NA,381,12046,12426,"protein_coding","hypothetical protein"
"NP_058136.1","YAL064C-A","TDA8",381,13363,13743,"protein_coding","Tda8p"
"NP_009337.2","YAL064W",NA,285,21566,21850,"protein_coding","hypothetical protein"
"NP_878039.1","YAL063C-A",NA,291,22395,22685,"protein_coding","hypothetical protein"
"NP_009338.1","YAL063C","FLO9",3969,24000,27968,"protein_coding","flocculin FLO9"
"NP_009339.1","YAL062W","GDH3",1374,31567,32940,"protein_coding","glutamate dehydrogenase (NADP(+)) GDH3"
"NP_009340.1","YAL061W","BDH2",1254,33448,34701,"protein_coding","putative dehydrogenase BDH2"
"NP_009341.2","YAL060W","BDH1",1149,35155,36303,"protein_coding","(R,R)-butanediol dehydrogenase"
"NP_009342.2","YAL059W","ECM1",639,36509,37147,"protein_coding","Ecm1p"
"NP_009343.1","YAL058W","CNE1",1509,37464,38972,"protein_coding","calnexin"
"NP_009345.3","YAL056W","GPB2",2643,39259,41901,"protein_coding","Gpb2p"
"NP_009346.1","YAL055W","PEX22",543,42177,42719,"protein_coding","ubiquitin-protein transferase activating protein PEX22"
"NP_009347.1","YAL054C","ACS1",2142,42881,45022,"protein_coding","acetate--CoA ligase 1"
"NP_009348.2","YAL053W","FLC2",2352,45899,48250,"protein_coding","flavin adenine dinucleotide transporter FLC2"
"NP_009349.3","YAL051W","OAF1",3144,48564,51707,"protein_coding","oleate-activated transcription factor OAF1"
"NP_009350.1","YAL049C","AIM2",741,51855,52595,"protein_coding","protein AIM2"
"NP_009351.1","YAL048C","GEM1",1989,52801,54789,"protein_coding","ERMES complex Ca(2+)-binding regulatory GTPase GEM1"
"NP_009352.2","YAL047C","SPC72",1869,54989,56857,"protein_coding","gamma-tubulin complex subunit SPC72"
"NP_009353.1","YAL046C","BOL3",357,57029,57385,"protein_coding","Bol3p"
