"query","NOGs","COG_category","HMM_description"
"NP_001018030.1","COG1171@NOG","E","Pyridoxal-phosphate dependent enzyme"
"NP_001018031.2","11DSJ@NOG",NA,NA
"NP_001027534.1","12B7H@NOG","S","Fungal protein of unknown function (DUF1748)"
"NP_001032579.1","11AAQ@NOG","G","Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)"
"NP_001091638.1","119RN@NOG",NA,NA
"NP_001106172.4","0Y3UT@NOG",NA,NA
"NP_001106949.1","122JB@NOG",NA,NA
"NP_001257674.1","0Y5Y0@NOG",NA,NA
"NP_001268465.1","COG2801@NOG","L","Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of"
"NP_001291944.1","COG2801@NOG","L","polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN)"
"NP_001335748.1","COG0038@NOG","P","chloride channel"
"NP_001335764.1","11DHP@NOG",NA,NA
"NP_009305.1","COG0843@NOG","C","Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B (By similarity)"
"NP_009306.1","COG0843@NOG","C","Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B"
"NP_009307.2","COG0843@NOG","C","Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B"
"NP_009308.2","0XZIG@NOG","C","Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B (By similarity)"
"NP_009309.1","COG3344@NOG","L","Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"
"NP_009310.1","COG3344@NOG","L","Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"
"NP_009311.2","0YCC8@NOG","A","intron homing"
