locus_tag,cluster,acc,COG_category,probability,HMM_description,NOGs
YAL003W,induced,NA,S,0.00725198931733243,Function unknown,NA
YAL012W,induced,NP_009390.1,E,8.622285680355961e-4,Cys/Met metabolism PLP-dependent enzyme,COG0626@NOG
YAL034C,repressed,NP_009368.2,S,0.9998184782267798,DNA binding,11T1C@NOG
YAL054C,repressed,NP_009347.1,H,0.4737229769854949,acetate--CoA ligase,COG0365@NOG
YAL060W,repressed,NP_009341.2,Q,0.6645270543229664,acetoin dehydrogenase activity,COG1063@NOG
YAL061W,repressed,NP_009340.1,Q,0.6645270543229664,acetoin dehydrogenase activity,COG1063@NOG
YAR071W,induced,NP_009434.1,S,0.00725198931733243,"One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface",11FS8@NOG
YAR073W,induced,NA,S,0.00725198931733243,Function unknown,NA
YAR075W,induced,NA,S,0.00725198931733243,Function unknown,NA
YBL005W,induced,NP_009548.1,K,0.9998779793190825,Pleiotropic drug resistance protein,0Y6CC@NOG
YBL015W,repressed,NP_009538.1,C,0.9953301413152312,Presumably involved in regulating the intracellular acetyl-CoA pool for fatty acid and cholesterol synthesis and fatty acid oxidation,COG0427@NOG
YBL024W,induced,NP_009529.1,J,NA,NOL1/NOP2/sun family,COG0144@NOG
YBL027W,induced,NA,S,0.00725198931733243,Function unknown,NA
YBL028C,induced,NP_009525.1,S,0.00725198931733243,Protein of unknown function (DUF2423),0Y803@NOG
YBL039C,induced,NP_009514.1,F,0.4153807069687917,Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen,COG0504@NOG
YBL042C,induced,NP_009511.1,"F, H",NA,"Permease for cytosine/purines, uracil, thiamine, allantoin",COG1953@NOG
YBL043W,repressed,NP_009510.1,S,0.9998184782267798,Function unknown,11AWP@NOG
YBL045C,repressed,NP_009508.1,C,0.9953301413152312,Ubiquinol-cytochrome C reductase,COG0612@NOG
YBL048W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YBL049W,repressed,NP_009504.1,S,0.9998184782267798,Pfam:Yippee,11VJ1@NOG
YBL054W,induced,NP_009499.1,K,0.9998779793190825,"Component of the RPD3 histone deacetylase complex RPD3C(L) responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events",12CJD@NOG
YBL064C,repressed,NP_009489.1,O,0.9699133011869505,C-terminal domain of 1-Cys peroxiredoxin,COG0450@NOG
YBL072C,induced,NP_009481.1,J,NA,40S ribosomal protein S8,COG2007@NOG
YBL075C,repressed,NP_009478.1,O,0.9699133011869505,MreB/Mbl protein,COG0443@NOG
YBL077W,induced,NA,S,0.00725198931733243,Function unknown,NA
YBL087C,induced,NA,S,0.00725198931733243,Function unknown,NA
YBL092W,induced,NP_009460.1,J,NA,60S ribosomal protein L32,COG1717@NOG
YBR001C,repressed,NP_009555.1,G,0.9563292098449211,"alpha,alpha-trehalase activity",COG1626@NOG
YBR006W,repressed,NP_009560.1,E,2.4936491944344962e-6,Aldehyde dehydrogenase family,COG1012@NOG
YBR018C,repressed,NP_009574.1,C,0.9953301413152312,Galactose-1-phosphate uridylyltransferase,COG1085@NOG
YBR019C,repressed,NP_009575.1,M,NA,aldose 1-epimerase activity,COG1087@NOG COG2017@NOG
YBR031W,induced,NP_009587.1,J,NA,Ribosomal protein L4,COG0088@NOG
YBR034C,induced,NP_009590.1,"K, O, T",NA,Protein of unknown function (DUF1698),0XQYH@NOG
YBR046C,repressed,NP_009602.1,Q,0.6645270543229664,Alcohol dehydrogenase GroES-like domain,COG0604@NOG
YBR047W,repressed,NP_009603.1,S,0.9998184782267798,Function unknown,1155T@NOG
YBR048W,induced,NA,S,0.00725198931733243,Function unknown,NA
YBR050C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YBR051W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YBR052C,repressed,NP_009608.1,Y,NA,Minor allergen Alt a,COG0655@NOG
YBR053C,repressed,NP_009609.1,"P, T",NA,SMP-30/Gluconolaconase/LRE-like region,COG3386@NOG
YBR054W,repressed,NP_009610.1,P,0.7063766671645022,ion channel activity,COG5524@NOG
YBR056W,repressed,NP_009612.1,G,0.9563292098449211,"Inherit from ascNOG: Glucan 1,3-beta-glucosidase",COG2730@NOG
YBR067C,induced,NP_009623.1,O,0.1672306973643994,Seripauperin and TIP1 family,11807@NOG
YBR068C,induced,NP_009624.4,E,8.622285680355961e-4,amino acid transmembrane transporter activity,COG0833@NOG
YBR069C,induced,NP_009625.1,E,8.622285680355961e-4,Amino acid permease,COG0833@NOG
YBR072W,repressed,NP_009628.1,O,0.9699133011869505,K13993 HSP20 family protein,COG0071@NOG
YBR079C,induced,NP_009635.1,J,NA,"Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)",0XQ37@NOG
YBR084C-A,induced,NA,S,0.00725198931733243,Function unknown,NA
YBR093C,induced,NP_009651.3,S,0.00725198931733243,"One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface",11FS8@NOG
YBR105C,repressed,NP_009663.1,U,0.9999999999997884,Vacuolar import and degradation protein,COG5073@NOG
YBR106W,induced,NP_009664.1,P,0.08084512295836578,Phosphate transport (Pho88),COG5065@NOG
YBR116C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YBR117C,repressed,NP_009675.3,G,0.9563292098449211,Transketolase,COG0021@NOG
YBR121C,induced,NP_009679.2,J,NA,Anticodon binding domain,COG0423@NOG
YBR126C,repressed,NP_009684.1,G,0.9563292098449211,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",COG0380@NOG
YBR132C,repressed,NP_009690.1,E,2.4936491944344962e-6,Amino acid permease,COG0833@NOG
YBR139W,repressed,NP_009697.3,O,0.9699133011869505,Serine carboxypeptidase,COG2939@NOG
YBR154C,induced,NP_009712.1,K,0.9998779793190825,"DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common component of RNA polymerases I, II and III which synthesize ribosomal RNA precursors, mRNA precursors and many functional non-coding RNAs, and small RNAs, such as 5S rRNA and tRNAs, respectively. Pol II is the central component of the basal RNA polymerase II transcription machinery. Pols are composed of mobile elements that move relative to each other. In Pol II, RPB5 is part of the lower jaw surrounding the central large cleft and thought to grab the incoming DNA template. Seems to be the major component in this process (By similarity)",COG2012@NOG
YBR162C,induced,NP_009720.1,S,0.00725198931733243,Putative TOS1-like glycosyl hydrolase (DUF2401),0XSZW@NOG
YBR181C,induced,NA,S,0.00725198931733243,Function unknown,NA
YBR183W,repressed,NP_009742.1,I,0.8468598308460155,ceramide catabolic process,11RPN@NOG
YBR189W,induced,NA,S,0.00725198931733243,Function unknown,NA
YBR191W,induced,NA,S,0.00725198931733243,Function unknown,NA
YBR203W,repressed,NP_009762.2,S,0.9998184782267798,F-box protein probably involved in ubiquitin conjugation pathway,11SX5@NOG
YBR212W,repressed,NP_009771.3,A,7.092379914420967e-7,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",COG0724@NOG
YBR230C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YBR238C,induced,NP_009797.1,O,0.1672306973643994,involved in the processing or stability of mitochondrial mRNAs,0YCD0@NOG
YBR241C,repressed,NP_009800.1,G,0.9563292098449211,Sugar (and other) transporter,COG0477@NOG
YBR244W,induced,NP_009803.3,O,0.1672306973643994,Glutathione peroxidase,COG0386@NOG
YBR247C,induced,NP_009806.3,W,NA,Essential nuclear protein 1,0XPH5@NOG
YBR249C,induced,NP_009808.1,E,8.622285680355961e-4,Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP) (By similarity),COG0722@NOG
YBR266C,induced,NA,S,0.00725198931733243,Function unknown,NA
YBR267W,induced,NP_009825.4,S,0.00725198931733243,ZnF_C2H2,0XPH0@NOG
YBR269C,repressed,NP_009828.2,S,0.9998184782267798,Protein of unknown function (DUF1674),12371@NOG
YBR280C,repressed,NP_009839.4,O,0.9699133011869505,Inherit from ascNOG: F-Box protein,0XSZR@NOG
YBR285W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YBR294W,repressed,NP_009853.3,P,0.7063766671645022,"sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates",COG0659@NOG
YBR296C,induced,NP_009855.1,P,0.08084512295836578,Phosphate transporter family,COG0306@NOG
YBR297W,repressed,NP_009856.3,K,0.9998363375969888,Maltose fermentation regulatory protein,0XT8T@NOG
YBR298C,repressed,NP_009857.1,P,0.7063766671645022,"High-affinity uptake of maltose and maltotriose. Also transports alpha-methylglucoside, glucose and turanose but not melezitose or trehalose",0XNQK@NOG
YCL025C,induced,NP_009905.3,E,8.622285680355961e-4,proline transmembrane transport,COG0833@NOG
YCL030C,induced,NP_009900.2,E,8.622285680355961e-4,Histidine biosynthesis trifunctional protein,COG0139@NOG COG0140@NOG COG0141@NOG
YCL035C,repressed,NP_009895.1,O,0.9699133011869505,Glutaredoxin,COG0695@NOG
YCL037C,induced,NP_009893.2,"J, O",NA,RNA binding,COG5193@NOG
YCL040W,repressed,NP_009890.1,G,0.9563292098449211,glucokinase activity,COG5026@NOG
YCL042W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YCL054W,induced,NP_009877.1,A,0.9999981037358701,Required for proper assembly of pre-ribosomal particles during the biogenesis of the 60S ribosomal subunit,COG0293@NOG
YCL059C,induced,NP_009872.1,J,NA,Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly (By similarity),COG1094@NOG
YCL064C,induced,NP_001018030.1,E,8.622285680355961e-4,Pyridoxal-phosphate dependent enzyme,COG1171@NOG
YCR005C,repressed,NP_009931.1,C,0.9953301413152312,citrate synthase,COG0372@NOG
YCR010C,repressed,NP_009936.1,S,0.9998184782267798,GPR FUN34 family protein,COG1584@NOG
YCR012W,induced,NP_009938.2,G,2.0609048813476683e-12,Phosphoglycerate kinase,COG0126@NOG
YCR013C,induced,NA,S,0.00725198931733243,Function unknown,NA
YCR016W,induced,NP_009942.2,S,0.00725198931733243,Uncharacterised conserved protein (DUF2373),1268U@NOG
YCR021C,repressed,NP_009950.1,P,0.7063766671645022,Bac_rhodopsin,COG5524@NOG
YCR031C,induced,NA,S,0.00725198931733243,Function unknown,NA
YCR034W,induced,NP_009963.1,I,0.030881299766512903,fatty acid elongase,0XRWT@NOG
YCR057C,induced,NP_009984.1,A,0.9999981037358701,Periodic tryptophan protein 2,0XP2P@NOG
YCR061W,repressed,NP_009987.2,S,0.9998184782267798,Domain of unknown function (DUF2427),0XPC6@NOG
YCR072C,induced,NP_009997.2,S,0.00725198931733243,ribosome assembly protein 4,0XP3K@NOG
YCR091W,repressed,NP_010015.3,T,0.9989297194930686,microtubule associated serine threonine kinase,0XPWX@NOG
YCR098C,repressed,NP_010022.1,P,0.7063766671645022,Sugar (and other) transporter,0ZVN7@NOG
YCR102C,repressed,NP_010026.1,C,0.9953301413152312,zinc ion binding,COG0604@NOG
