Entry,Protein names,Gene names  (ordered locus ),Gene ontology (biological process)
P22147,5'-3' exoribonuclease 1 (EC 3.1.13.-) (DNA strand transfer protein beta) (STP-beta) (KAR(-)-enhancing mutation protein) (Strand exchange protein 1) (p175),YGL173C,"karyogamy [GO:0000741]; mRNA destabilization [GO:0061157]; negative regulation of macroautophagy [GO:0016242]; nonfunctional rRNA decay [GO:0070651]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; rRNA processing [GO:0006364]; snoRNA processing [GO:0043144]; traversing start control point of mitotic cell cycle [GO:0007089]"
P33302,Pleiotropic ABC efflux transporter of multiple drugs (Pleiotropic drug resistance protein 5) (Suppressor of toxicity of sporidesmin),YOR153W,cellular cation homeostasis [GO:0030003]; drug export [GO:0046618]; drug transport [GO:0015893]; response to cycloheximide [GO:0046898]; response to drug [GO:0042493]; transmembrane transport [GO:0055085]
P12904,5'-AMP-activated protein kinase subunit gamma (AMPK gamma) (AMPK subunit gamma) (Regulatory protein CAT3) (Sucrose non-fermenting protein 4),YGL115W,carbohydrate metabolic process [GO:0005975]; peroxisome organization [GO:0007031]; positive regulation of gluconeogenesis [GO:0045722]; protein phosphorylation [GO:0006468]; regulation of transcription by RNA polymerase II [GO:0006357]; replicative cell aging [GO:0001302]
P08539,Guanine nucleotide-binding protein alpha-1 subunit (GP1-alpha),YHR005C,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion [GO:0000754]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; inositol lipid-mediated signaling [GO:0048017]; karyogamy involved in conjugation with cellular fusion [GO:0000742]; nuclear migration involved in conjugation with cellular fusion [GO:0000743]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; regulation of MAPK export from nucleus [GO:0071701]
Q03834,DNA mismatch repair protein MSH6 (MutS protein homolog 6) (Postmeiotic segregation protein 3),YDR097C,interstrand cross-link repair [GO:0036297]; maintenance of DNA repeat elements [GO:0043570]; meiotic mismatch repair [GO:0000710]; mismatch repair [GO:0006298]; mitotic G2 DNA damage checkpoint [GO:0007095]; negative regulation of DNA endoreduplication [GO:0032876]; negative regulation of DNA recombination [GO:0045910]; positive regulation of helicase activity [GO:0051096]; pyrimidine dimer repair [GO:0006290]; replication fork arrest [GO:0043111]; response to UV [GO:0009411]
P06169,Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC),YLR044C,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway [GO:0000949]; branched-chain amino acid catabolic process [GO:0009083]; ethanol metabolic process [GO:0006067]; glycolytic fermentation to ethanol [GO:0019655]; L-phenylalanine catabolic process [GO:0006559]; pyruvate metabolic process [GO:0006090]; tryptophan catabolic process [GO:0006569]
P02994,Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A),YPR080W; YBR118W,actin filament bundle assembly [GO:0051017]; cellular response to amino acid starvation [GO:0034198]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; translation [GO:0006412]; translational elongation [GO:0006414]; tRNA export from nucleus [GO:0006409]
P25847,DNA mismatch repair protein MSH2 (MutS protein homolog 2),YOL090W,chromatin silencing at silent mating-type cassette [GO:0030466]; DNA recombination [GO:0006310]; interstrand cross-link repair [GO:0036297]; maintenance of DNA repeat elements [GO:0043570]; meiotic gene conversion [GO:0006311]; meiotic mismatch repair [GO:0000710]; mismatch repair [GO:0006298]; mitotic recombination [GO:0006312]; negative regulation of DNA recombination [GO:0045910]; postreplication repair [GO:0006301]; removal of nonhomologous ends [GO:0000735]; replication fork arrest [GO:0043111]
P06782,Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1),YDR477W,carbohydrate metabolic process [GO:0005975]; cell adhesion [GO:0007155]; cellular response to nitrogen starvation [GO:0006995]; establishment of mitotic spindle orientation [GO:0000132]; fungal-type cell wall assembly [GO:0071940]; intracellular signal transduction [GO:0035556]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of translation [GO:0017148]; positive regulation of filamentous growth of a population of unicellular organisms in response to starvation [GO:1900436]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of macroautophagy [GO:0016239]; positive regulation of pseudohyphal growth [GO:2000222]; protein phosphorylation [GO:0006468]; replicative cell aging [GO:0001302]; response to unfolded protein [GO:0006986]; single-species surface biofilm formation [GO:0090606]
P28240,Isocitrate lyase (ICL) (EC 4.1.3.1) (Methylisocitrate lyase) (MICA) (EC 4.1.3.30) (Threo-D(S)-isocitrate glyoxylate-lyase),YER065C,glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]
P41277,Glycerol-1-phosphate phosphohydrolase 1 (EC 3.1.3.21) ((DL)-glycerol-3-phosphatase 1) (Related to HOR2 protein 2),YIL053W,glycerol biosynthetic process [GO:0006114]; glycerol metabolic process [GO:0006071]; response to osmotic stress [GO:0006970]
P32485,Mitogen-activated protein kinase HOG1 (MAP kinase HOG1) (EC 2.7.11.24) (High osmolarity glycerol response protein 1),YLR113W,cellular response to heat [GO:0034605]; cellular response to osmotic stress [GO:0071470]; cellular response to oxidative stress [GO:0034599]; hyperosmotic response [GO:0006972]; intracellular signal transduction [GO:0035556]; osmosensory signaling pathway [GO:0007231]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress [GO:0061393]; protein phosphorylation [GO:0006468]; regulation of gene expression [GO:0010468]; regulation of macroautophagy [GO:0016241]; regulation of nuclear cell cycle DNA replication [GO:0033262]; regulation of transcription from RNA polymerase II promoter in response to osmotic stress [GO:0061392]; response to arsenic-containing substance [GO:0046685]; stress-activated MAPK cascade [GO:0051403]
P53104,Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy protein 3) (Autophagy-related protein 1) (Cytoplasm to vacuole targeting protein 10),YGL180W,autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; late nucleophagy [GO:0044805]; piecemeal microautophagy of the nucleus [GO:0034727]; protein autophosphorylation [GO:0046777]; protein localization by the Cvt pathway [GO:0032258]; protein phosphorylation [GO:0006468]; protein transport [GO:0015031]; regulation of autophagy [GO:0010506]; reticulophagy [GO:0061709]
P46946,DNA endonuclease SAE2 (EC 3.1.-.-) (Completion of meiotic recombination protein 1) (Sporulation in the absence of SPO11 protein 2),YGL175C,"DNA catabolic process, endonucleolytic [GO:0000737]; DNA double-strand break processing [GO:0000729]; DNA double-strand break processing involved in repair via synthesis-dependent strand annealing [GO:0010791]; gene conversion at mating-type locus, DNA double-strand break processing [GO:0031292]; meiotic DNA double-strand break formation [GO:0042138]; meiotic DNA double-strand break processing [GO:0000706]; positive regulation of dephosphorylation [GO:0035306]; positive regulation of exonuclease activity [GO:1905779]; telomere maintenance [GO:0000723]; telomeric 3' overhang formation [GO:0031860]"
P38766,ATP-dependent DNA helicase RRM3 (EC 3.6.4.12) (Regulation of Ty1 transposition protein 104) (rDNA recombination mutation protein 3),YHR031C,DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; G-quadruplex DNA unwinding [GO:0044806]; mitochondrial genome maintenance [GO:0000002]; replication fork progression beyond termination site [GO:0097046]; replication fork reversal [GO:0071932]; telomere maintenance [GO:0000723]
P32791,Ferric/cupric reductase transmembrane component 1 (EC 1.16.1.9) (Ferric-chelate reductase 1),YLR214W,cellular iron ion homeostasis [GO:0006879]; copper ion import [GO:0015677]; iron ion transport [GO:0006826]
P31378,Endonuclease III homolog 1 (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase 1) (DNA glycosylase/AP lyase 1) (Endonuclease III-like glycosylase 1) (Redoxyendonuclease 1),YAL015C,"base-excision repair [GO:0006284]; base-excision repair, AP site formation [GO:0006285]; cellular response to oxidative stress [GO:0034599]; DNA repair [GO:0006281]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; positive regulation of mitochondrial DNA replication [GO:0090297]"
P39013,Actin cytoskeleton-regulatory complex protein END3 (Endocytosis protein 3),YNL084C,actin cortical patch assembly [GO:0000147]; actin filament organization [GO:0007015]; ascospore wall assembly [GO:0030476]; bipolar cellular bud site selection [GO:0007121]; endocytosis [GO:0006897]
P47001,Cell wall mannoprotein CIS3 (Covalently-linked cell wall protein 5/11) (Protein with internal repeats 4) (Soluble cell wall protein 8),YJL158C,fungal-type cell wall organization [GO:0031505]
P32324,Elongation factor 2 (EF-2) (Eukaryotic elongation factor 2) (eEF2) (Ribosomal translocase) (Translation elongation factor 2),YOR133W; YDR385W,maintenance of translational fidelity [GO:1990145]; positive regulation of translational elongation [GO:0045901]; translational elongation [GO:0006414]
P10081,ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Stimulator factor I 37 kDa component) (Translation initiation factor 1/2) (p37),YKR059W; YJL138C,translational initiation [GO:0006413]
P19145,General amino-acid permease GAP1,YKR039W,amino acid transport [GO:0006865]; polyamine transport [GO:0015846]
P32478,Cell wall mannoprotein HSP150 (150 kDa heat shock glycoprotein) (Covalently-linked cell wall protein 7) (Protein with internal repeats 2),YJL159W,fungal-type cell wall organization [GO:0031505]
P38631,"1,3-beta-glucan synthase component FKS1 (EC 2.4.1.34) (1,3-beta-D-glucan-UDP glucosyltransferase) (Calcineurin dependent protein 1) (Calcofluor white hypersensitivity protein 53) (Echinocandin target gene protein 1) (FK506 sensitivity protein 1) (Glucan synthase of cerevisiae protein 1) (Papulacandin B resistance protein 1)",YLR342W,(1->3)-beta-D-glucan biosynthetic process [GO:0006075]; cell wall organization [GO:0071555]; positive regulation of endocytosis [GO:0045807]; regulation of cell shape [GO:0008360]; regulation of cell size [GO:0008361]
P06106,Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase) (OAS-OAH SHLase) (OAS-OAH sulfhydrylase),YLR303W,cysteine biosynthetic process [GO:0019344]; methionine metabolic process [GO:0006555]
P32944,Mitosis inhibitor protein kinase SWE1 (EC 2.7.11.1) (Wee1 homolog),YJL187C,cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; meiotic cell cycle [GO:0051321]; morphogenesis checkpoint [GO:0044879]; negative regulation of mitotic spindle pole body separation [GO:0010697]; positive regulation of sphingolipid biosynthetic process [GO:0090154]; protein phosphorylation [GO:0006468]; re-entry into mitotic cell cycle [GO:0000320]; regulation of cell size [GO:0008361]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of meiotic nuclear division [GO:0040020]
P38693,Acid phosphatase PHO12 (EC 3.1.3.2),YHR215W,
P40347,Low molecular weight phosphotyrosine protein phosphatase (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2) (PTPase),YPR073C,protein dephosphorylation [GO:0006470]
P53043,Serine/threonine-protein phosphatase T (PPT) (EC 3.1.3.16),YGR123C,protein dephosphorylation [GO:0006470]
P38698,Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Metaphosphatase),YHR201C,polyphosphate catabolic process [GO:0006798]
P26570,Serine/threonine-protein phosphatase PP-Z1 (EC 3.1.3.16),YML016C,cellular protein localization [GO:0034613]; cellular sodium ion homeostasis [GO:0006883]; protein dephosphorylation [GO:0006470]
P25578,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase) (PGP synthase),YCL004W,cardiolipin biosynthetic process [GO:0032049]
P00560,Phosphoglycerate kinase (EC 2.7.2.3),YCR012W,gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; oxidation-reduction process [GO:0055114]; positive regulation of oxidative phosphorylation [GO:1903862]
Q12245,Proteasome chaperone 4,YPL144W,chaperone-mediated protein complex assembly [GO:0051131]; proteasome assembly [GO:0043248]
P07272,Pyrimidine pathway regulatory protein 1,YLR014C,"positive regulation of pyrimidine nucleotide biosynthetic process [GO:1900399]; positive regulation of transcription by RNA polymerase II [GO:0045944]; pyrimidine nucleotide biosynthetic process [GO:0006221]; transcription, DNA-templated [GO:0006351]"
Q12196,Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (Ribosomal RNA-processing protein 10),YOR119C,"cell cycle [GO:0007049]; cell division [GO:0051301]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; negative regulation of transcription by RNA polymerase I [GO:0016479]; positive regulation of rRNA processing [GO:2000234]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of exit from mitosis [GO:0007096]"
P40160,Serine/threonine-protein kinase RIO2 (EC 2.7.11.1),YNL207W,"maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; positive regulation of RNA import into nucleus [GO:0046830]"
P21524,Ribonucleoside-diphosphate reductase large chain 1 (EC 1.17.4.1) (Ribonucleotide reductase R1 subunit 1) (Ribonucleotide reductase large subunit 1),YER070W,deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]
P20457,DNA primase large subunit (EC 2.7.7.-) (DNA polymerase alpha:primase complex p58 subunit) (DNA polymerase-primase complex p58 subunit) (Pol alpha-primase complex p58 subunit) (DNA primase 58 kDa subunit),YKL045W,"DNA replication [GO:0006260]; DNA replication, synthesis of RNA primer [GO:0006269]; DNA replication initiation [GO:0006270]; double-strand break repair [GO:0006302]; lagging strand elongation [GO:0006273]"
P24384,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22 (EC 3.6.4.13),YER013W,generation of catalytic spliceosome for second transesterification step [GO:0000350]; spliceosomal complex disassembly [GO:0000390]
Q12417,Pre-mRNA-splicing factor PRP46 (Complexed with CEF1 protein 1) (PRP nineteen-associated complex protein 50) (PRP19-associated complex protein 50) (Pre-mRNA-processing protein 46),YPL151C,"mRNA splicing, via spliceosome [GO:0000398]"
P19736,Pre-mRNA-splicing factor PRP9,YDL030W,"mRNA 5'-splice site recognition [GO:0000395]; mRNA splicing, via spliceosome [GO:0000398]"
Q12428,"Probable 2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) ((2S,3S)-2-methylcitrate dehydratase)",YPR002W,"propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; propionate metabolic process [GO:0019541]; propionate metabolic process, methylcitrate cycle [GO:0019679]"
Q07350,Pre-mRNA-splicing factor PRP11,YDL043C,spliceosomal complex assembly [GO:0000245]
P32523,Pre-mRNA-processing factor 19 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase PRP19),YLL036C,DNA repair [GO:0006281]; generation of catalytic spliceosome for first transesterification step [GO:0000349]; protein K63-linked ubiquitination [GO:0070534]
P38336,RNases MRP/P 32.9 kDa subunit (RNA-processing protein POP4),YBR257W,"intronic box C/D snoRNA processing [GO:0034965]; nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]; RNA phosphodiester bond hydrolysis, endonucleolytic [GO:0090502]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]"
Q04119,Endopolyphosphatase (EC 3.6.1.10) (Deoxyadenosine triphosphate phosphohydrolase) (dATP phosphohydrolase) (EC 3.6.1.-) (Exopolyphosphatase) (EC 3.6.1.11) (Phosphate metabolism protein 5),YDR452W,polyphosphate catabolic process [GO:0006798]; polyphosphate metabolic process [GO:0006797]
P32945,Serine/threonine-protein phosphatase PPQ (EC 3.1.3.16),YPL179W,negative regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0090029]; protein dephosphorylation [GO:0006470]
P38148,Dual specificity protein phosphatase PPS1 (EC 3.1.3.16) (EC 3.1.3.48),YBR276C,inactivation of MAPK activity [GO:0000188]; nuclear DNA replication [GO:0033260]; protein dephosphorylation [GO:0006470]
